PHYSICIAN	0	100	1	4	2	799048
TREATMENT	1	100	2	5	5	802680
PATIENT	2	100	2	5	13	803960
VOTING	3	100	2	5	2	806080
SYMPTOM	4	100	2	5	6	807160
PATIENT	5	100	2	5	11	807544
PATIENT	6	100	2	5	10	808352
VOTING	7	100	2	5	3	809584
SYMPTOM	8	100	2	5	7	810056
TREATMENT	9	100	2	5	8	811856
PHYSICIAN	10	100	2	5	2	813744
PHYSICIAN	11	100	2	5	1	814016
TREATMENT	12	100	2	5	3	814592
TREATMENT	13	100	2	5	2	814648
TREATMENT	14	100	2	5	2	814600
VOTING	15	100	2	5	2	815744
VOTING	16	100	2	5	1	816552
PATIENT	17	100	2	5	8	816576
TREATMENT	18	100	2	5	3	817120
PHYSICIAN	19	100	2	5	1	818936
SYMPTOM	20	100	2	5	7	818504
VOTING	21	100	2	5	1	819536
TREATMENT	22	100	2	5	3	819264
SYMPTOM	23	100	2	5	4	819264
PATIENT	24	100	2	5	6	820320
SYMPTOM	25	100	2	5	5	820856
PATIENT	26	100	2	5	7	824816
PHYSICIAN	27	100	2	5	1	827272
TREATMENT	28	100	2	5	3	826760
SYMPTOM	29	100	2	5	3	835096
VOTING	30	100	2	5	1	871200
SYMPTOM	31	100	2	5	5	921176
PATIENT	32	100	2	5	10	969672
PATIENT	33	100	2	5	7	1014048
PHYSICIAN	34	100	2	5	3	1065800
PHYSICIAN	35	100	2	5	2	1069688
VOTING	36	100	2	5	2	1070136
PHYSICIAN	37	100	2	5	2	1071680
PHYSICIAN	38	100	2	5	3	1073048
PATIENT	39	100	2	5	24	1073648
PATIENT	40	100	2	5	21	1074464
SYMPTOM	41	100	2	5	7	1074192
PATIENT	42	100	2	5	11	1075272
TREATMENT	43	100	2	5	3	1075000
PHYSICIAN	44	100	2	5	1	1077520
SYMPTOM	45	100	2	5	4	1077240
PATIENT	46	100	2	5	5	1078680
SYMPTOM	47	100	2	5	5	1081056
VOTING	48	100	2	5	3	1082864
SYMPTOM	49	100	2	5	2	1083112
PHYSICIAN	50	100	2	5	1	1084928
PHYSICIAN	51	100	2	5	1	1091288
SYMPTOM	52	100	2	5	4	1091424
PHYSICIAN	53	100	2	5	1	1097432
PATIENT	54	100	2	5	7	1098320
PATIENT	55	100	2	5	7	1099768
PHYSICIAN	56	100	2	5	1	1101816
TREATMENT	57	100	2	5	4	1101304
TREATMENT	58	100	2	5	2	1101304
VOTING	59	100	2	5	2	1102384
PHYSICIAN	60	100	2	5	1	1109016
PHYSICIAN	61	100	2	5	1	1110224
TREATMENT	62	100	2	5	4	1109712
PHYSICIAN	63	100	2	5	1	1111880
SYMPTOM	64	100	2	5	2	1111408
TREATMENT	65	100	2	5	3	1111408
VOTING	66	100	2	5	1	1112512
PATIENT	67	100	2	5	5	1114336
TREATMENT	68	100	2	5	3	1114288
TREATMENT	69	100	2	5	4	1114368
PHYSICIAN	70	100	2	5	1	1116184
VOTING	71	100	2	5	1	1118640
PATIENT	72	100	2	5	10	1121696
PHYSICIAN	73	100	2	5	1	1123248
VOTING	74	100	2	5	1	1123816
VOTING	75	100	2	5	1	1124624
SYMPTOM	76	100	2	5	2	1124400
PHYSICIAN	77	100	2	5	1	1126168
