SYMPTOM	0	10	1	4	7	798776
SYMPTOM	1	10	1	4	4	799528
TREATMENT	2	10	1	4	5	801296
VOTING	3	10	1	4	9	803384
VOTING	4	10	1	4	2	804304
PHYSICIAN	5	10	1	4	2	806984
PHYSICIAN	6	10	1	4	2	809560
SYMPTOM	7	10	1	4	6	809888
TREATMENT	8	10	1	4	6	810968
PATIENT	9	10	1	4	8	812064
PHYSICIAN	0	10	1	4	3	816288
VOTING	1	10	2	9	2	910992
VOTING	2	10	2	9	5	912616
SYMPTOM	3	10	2	9	10	953544
TREATMENT	4	10	2	9	5	954136
VOTING	5	10	2	9	2	974344
PHYSICIAN	6	10	2	9	1	1055176
PHYSICIAN	7	10	2	9	1	1057568
VOTING	8	10	2	9	3	1058136
TREATMENT	9	10	2	9	5	1057872
PATIENT	0	10	2	9	10	1059032
VOTING	1	10	3	15	2	1060576
TREATMENT	2	10	3	15	6	1061312
SYMPTOM	3	10	3	15	5	1061384
PATIENT	4	10	3	15	13	1065048
VOTING	5	10	3	15	2	1065856
SYMPTOM	6	10	3	15	7	1065584
VOTING	7	10	3	15	2	1066664
TREATMENT	8	10	3	15	5	1066392
SYMPTOM	9	10	3	15	4	1066392
SYMPTOM	0	10	3	15	6	1066392
PATIENT	1	10	4	18	10	1067536
SYMPTOM	2	10	4	18	5	1068032
PATIENT	3	10	4	18	11	1069112
PHYSICIAN	4	10	4	18	2	1071760
SYMPTOM	5	10	4	18	6	1071256
TREATMENT	6	10	4	18	7	1071208
VOTING	7	10	4	18	2	1072240
TREATMENT	8	10	4	18	7	1071968
PHYSICIAN	9	10	4	18	2	1074080
PHYSICIAN	0	10	4	18	1	1075648
PATIENT	1	10	5	22	7	1079616
TREATMENT	2	10	5	22	5	1084296
VOTING	3	10	5	22	1	1086368
VOTING	4	10	5	22	2	1087176
VOTING	5	10	5	22	1	1087984
SYMPTOM	6	10	5	22	5	1087872
PATIENT	7	10	5	22	7	1088904
PHYSICIAN	8	10	5	22	1	1090624
PATIENT	9	10	5	22	9	1091256
TREATMENT	0	10	5	22	5	1090984
PATIENT	1	10	6	26	10	1092320
SYMPTOM	2	10	6	26	3	1092864
VOTING	3	10	6	26	2	1094048
PHYSICIAN	4	10	6	26	1	1100424
VOTING	5	10	6	26	1	1100992
PATIENT	6	10	6	26	5	1101768
SYMPTOM	7	10	6	26	2	1101496
SYMPTOM	8	10	6	26	3	1101496
VOTING	9	10	6	26	1	1102576
TREATMENT	0	10	6	26	3	1102304
PATIENT	1	10	7	30	7	1103568
PHYSICIAN	2	10	7	30	1	1106064
SYMPTOM	3	10	7	30	3	1107416
TREATMENT	4	10	7	30	4	1108400
VOTING	5	10	7	30	2	1110200
PATIENT	6	10	7	30	13	1113032
SYMPTOM	7	10	7	30	6	1113352
TREATMENT	8	10	7	30	5	1114200
SYMPTOM	9	10	7	30	12	1115088
PATIENT	0	10	7	30	10	1116200
PHYSICIAN	1	10	8	32	1	1118744
SYMPTOM	2	10	8	32	2	1119288
VOTING	3	10	8	32	1	1120368
TREATMENT	4	10	8	32	2	1120096
VOTING	5	10	8	32	2	1121600
TREATMENT	6	10	8	32	4	1121520
SYMPTOM	7	10	8	32	2	1122400
VOTING	8	10	8	32	2	1124744
TREATMENT	9	10	8	32	3	1126248
PATIENT	0	10	8	32	6	1127296
PATIENT	1	10	9	36	8	1128816
VOTING	2	10	9	36	1	1130752
PATIENT	3	10	9	36	6	1131760
PATIENT	4	10	9	36	6	1132496
TREATMENT	5	10	9	36	3	1132480
SYMPTOM	6	10	9	36	3	1132736
VOTING	7	10	9	36	1	1133816
PHYSICIAN	8	10	9	36	1	1135712
PATIENT	9	10	9	36	6	1136280
TREATMENT	0	10	9	36	3	1136008
VOTING	1	10	10	39	1	1137368
PATIENT	2	10	10	39	5	1139024
SYMPTOM	3	10	10	39	3	1138784
SYMPTOM	4	10	10	39	2	1138784
VOTING	5	10	10	39	1	1139864
PHYSICIAN	6	10	10	39	2	1141544
SYMPTOM	7	10	10	39	3	1141784
PATIENT	8	10	10	39	9	1144184
VOTING	9	10	10	39	1	1145032
SYMPTOM	0	10	10	39	2	1144808
VOTING	1	10	11	43	1	1146048
VOTING	2	10	11	43	2	1147672
PATIENT	3	10	11	43	5	1148480
VOTING	4	10	11	43	1	1149288
TREATMENT	5	10	11	43	2	1149048
SYMPTOM	6	10	11	43	3	1149048
SYMPTOM	7	10	11	43	2	1149096
PATIENT	8	10	11	43	5	1150128
PATIENT	9	10	11	43	7	1150936
TREATMENT	0	10	11	43	2	1150664
SYMPTOM	1	10	12	46	2	1151104
VOTING	2	10	12	46	1	1152784
PATIENT	3	10	12	46	7	1153592
