PHYSICIAN	0	100	1	4	1	800312
SYMPTOM	1	100	2	5	5	810048
SYMPTOM	2	100	2	5	3	810864
TREATMENT	3	100	2	5	5	812368
VOTING	4	100	2	5	2	813944
PHYSICIAN	5	100	2	5	1	814968
SYMPTOM	6	100	2	5	3	816176
PATIENT	7	100	2	5	7	817400
VOTING	8	100	2	5	1	818328
PHYSICIAN	9	100	2	5	1	820904
SYMPTOM	10	100	2	5	4	820936
PATIENT	11	100	2	5	7	821776
VOTING	12	100	2	5	1	822656
PHYSICIAN	13	100	2	5	1	823992
TREATMENT	14	100	2	5	3	824032
VOTING	15	100	2	5	1	824848
PATIENT	16	100	2	5	7	825656
TREATMENT	17	100	2	5	2	825856
VOTING	18	100	2	5	1	825808
VOTING	19	100	2	5	1	826680
SYMPTOM	20	100	2	5	2	826456
TREATMENT	21	100	2	5	3	826408
VOTING	22	100	2	5	1	827488
PHYSICIAN	23	100	2	5	1	829064
PHYSICIAN	24	100	2	5	1	829368
SYMPTOM	25	100	2	5	4	832664
TREATMENT	26	100	2	5	2	833208
TREATMENT	27	100	2	5	3	833256
TREATMENT	28	100	2	5	5	833208
PATIENT	29	100	2	5	7	832664
VOTING	30	100	2	5	1	833472
VOTING	31	100	2	5	2	834280
PHYSICIAN	32	100	2	5	1	1070448
SYMPTOM	33	100	2	5	5	1070992
TREATMENT	34	100	2	5	5	1070992
PATIENT	35	100	2	5	10	1072104
PHYSICIAN	36	100	2	5	4	1073648
VOTING	37	100	2	5	3	1075168
SYMPTOM	38	100	2	5	5	1075712
PHYSICIAN	39	100	2	5	2	1077688
PHYSICIAN	40	100	2	5	1	1079240
PATIENT	41	100	2	5	9	1080832
PATIENT	42	100	2	5	9	1080872
VOTING	43	100	2	5	1	1080016
VOTING	44	100	2	5	1	1080824
PATIENT	45	100	2	5	8	1081632
PATIENT	46	100	2	5	10	1081656
SYMPTOM	47	100	2	5	6	1082264
SYMPTOM	48	100	2	5	6	1080592
PHYSICIAN	49	100	2	5	2	1082408
PATIENT	50	100	2	5	10	1082168
SYMPTOM	51	100	2	5	7	1081896
TREATMENT	52	100	2	5	5	1081896
PHYSICIAN	53	100	2	5	1	1083936
PATIENT	54	100	2	5	7	1084016
TREATMENT	55	100	2	5	5	1085776
VOTING	56	100	2	5	5	1088112
SYMPTOM	57	100	2	5	4	1089064
PATIENT	58	100	2	5	7	1090144
PATIENT	59	100	2	5	6	1095000
TREATMENT	60	100	2	5	3	1093064
PHYSICIAN	61	100	2	5	4	1102968
SYMPTOM	62	100	2	5	5	1104056
TREATMENT	63	100	2	5	6	1104064
PHYSICIAN	64	100	2	5	1	1106664
VOTING	65	100	2	5	3	1107272
PATIENT	66	100	2	5	11	1108560
PATIENT	67	100	2	5	8	1109624
SYMPTOM	68	100	2	5	4	1110288
PHYSICIAN	69	100	2	5	1	1110360
SYMPTOM	70	100	2	5	4	1109848
PATIENT	71	100	2	5	7	1111064
SYMPTOM	72	100	2	5	3	1110912
VOTING	73	100	2	5	2	1112400
SYMPTOM	74	100	2	5	3	1112128
PATIENT	75	100	2	5	6	1113240
PATIENT	76	100	2	5	7	1113456
PHYSICIAN	77	100	2	5	1	1117912
PHYSICIAN	78	100	2	5	1	1117752
VOTING	79	100	2	5	1	1119408
TREATMENT	80	100	2	5	5	1119136
VOTING	81	100	2	5	1	1120472
SYMPTOM	82	100	2	5	6	1120200
TREATMENT	83	100	2	5	10	1120232
PHYSICIAN	84	100	2	5	3	1132408
PATIENT	85	100	2	5	12	1123912
PATIENT	86	100	2	5	16	1124728
VOTING	87	100	2	5	3	1124736
TREATMENT	88	100	2	5	4	1125336
VOTING	89	100	2	5	3	1126432
PATIENT	90	100	2	5	9	1127208
TREATMENT	91	100	2	5	2	1127032
SYMPTOM	92	100	2	5	5	1125312
TREATMENT	93	100	2	5	5	1125312
TREATMENT	94	100	2	5	5	1125312
PHYSICIAN	95	100	2	5	1	1127128
TREATMENT	96	100	2	5	7	1126616
VOTING	97	100	2	5	6	1127696
SYMPTOM	98	100	2	5	5	1127424
PHYSICIAN	99	100	2	5	2	1130336
VOTING	0	100	2	5	2	1130920
PHYSICIAN	1	100	3	45	1	1139856
VOTING	2	100	3	45	1	1142088
TREATMENT	3	100	3	45	2	1142968
